,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.33,11.67,65,87,3.13,NZ,1602980156
1,chillicothe,39.33,-82.98,11.11,57,1,2.4,US,1602980062
2,ushuaia,-54.8,-68.3,6.0,75,75,9.3,AR,1602980158
3,arraial do cabo,-22.97,-42.03,21.63,79,2,5.03,BR,1602980160
4,antalaha,-14.9,50.28,21.12,86,42,2.87,MG,1602980161
5,codrington,-38.27,141.97,10.92,74,90,3.39,AU,1602980162
6,rikitea,-23.12,-134.97,23.57,80,100,9.0,PF,1602980164
7,qaanaaq,77.48,-69.36,1.76,87,100,3.57,GL,1602980165
8,saint-philippe,-21.36,55.77,20.56,68,39,1.0,RE,1602980167
9,castro,-24.79,-50.01,12.27,88,38,4.24,BR,1602980168
10,bilma,18.69,12.92,28.24,16,0,1.57,NE,1602979990
11,miles city,46.41,-105.84,-2.0,50,90,4.6,US,1602979989
12,atuona,-9.8,-139.03,25.88,72,1,6.16,PF,1602980115
13,airai,-8.93,125.41,22.88,54,78,0.91,TL,1602980175
14,kapaa,22.08,-159.32,27.22,88,75,2.6,US,1602980176
15,port alfred,-33.59,26.89,17.89,85,85,5.76,ZA,1602980061
16,tuktoyaktuk,69.45,-133.04,-7.0,79,5,3.6,CA,1602979985
17,tommot,58.96,126.29,-6.77,94,86,2.12,RU,1602980180
18,saskylakh,71.92,114.08,-10.37,96,98,2.96,RU,1602980181
19,kruisfontein,-34.0,24.73,13.89,94,97,5.26,ZA,1602980027
20,chokurdakh,70.63,147.92,-4.63,98,99,2.61,RU,1602980167
21,bethel,41.37,-73.41,8.33,70,1,0.17,US,1602980190
22,boyolangu,-8.12,111.89,25.75,77,82,2.64,ID,1602980194
23,nikolskoye,59.7,30.79,2.22,80,75,3.0,RU,1602980196
24,wheeling,42.14,-87.93,16.67,29,90,6.2,US,1602980195
25,nizhniy kuranakh,58.84,125.49,-6.74,95,95,2.38,RU,1602980016
26,sinnamary,5.38,-52.95,27.46,79,70,5.18,GF,1602980036
27,albany,42.6,-73.97,7.22,65,0,1.66,US,1602980201
28,mahebourg,-20.41,57.7,21.0,83,20,1.5,MU,1602980202
29,san patricio,28.02,-97.52,28.0,61,20,7.2,US,1602980204
30,salalah,17.02,54.09,23.0,49,1,1.5,OM,1602980205
31,jardim,-21.48,-56.14,24.85,62,6,2.63,BR,1602980206
32,omsukchan,62.53,155.8,-3.38,79,100,3.04,RU,1602980073
33,batsfjord,70.63,29.72,1.97,82,91,5.29,NO,1602980211
34,berezniki,59.42,56.81,-0.56,96,60,2.39,RU,1602980212
35,abu zabad,12.35,29.25,26.1,25,97,0.95,SD,1602980214
36,kupang,-10.17,123.58,30.0,62,20,1.5,ID,1602980215
37,holme,56.11,10.17,9.44,81,82,7.2,DK,1602980217
38,dingle,11.0,122.67,27.35,79,86,1.03,PH,1602980150
39,saldanha,-33.01,17.94,13.0,87,27,1.5,ZA,1602980219
40,nishihara,26.18,127.76,26.0,83,75,4.6,JP,1602980161
41,hermanus,-34.42,19.23,11.67,94,40,0.45,ZA,1602980222
42,hirara,24.8,125.28,26.0,83,40,6.7,JP,1602980193
43,bredasdorp,-34.53,20.04,12.0,93,33,2.1,ZA,1602980225
44,upernavik,72.79,-56.15,2.18,93,100,10.56,GL,1602980226
